epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
83,6851.17,1.15807,0.53212,0.00247,0.90343,0.83291,0.89723,0.62877,0.85656,0.59467,0.00241,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,6933.29,1.15138,0.51539,0.00241,0.90481,0.83453,0.8993,0.63047,0.85116,0.59489,0.00236,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,7014.95,1.1626,0.5439,0.00248,0.908,0.83477,0.9008,0.63107,0.84978,0.58751,0.00226,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,7097.8,1.15717,0.5273,0.00241,0.90927,0.8367,0.90182,0.63197,0.84968,0.58562,0.00223,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,7179.63,1.14724,0.52708,0.00246,0.90825,0.8393,0.90269,0.63256,0.84788,0.57963,0.00223,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,7261.13,1.14864,0.52524,0.00241,0.91245,0.83726,0.90304,0.63254,0.84819,0.581,0.00222,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,7344.03,1.15274,0.52491,0.00243,0.9077,0.83724,0.90205,0.63345,0.84907,0.58188,0.00224,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,7425.87,1.14674,0.51371,0.00243,0.90642,0.83849,0.90192,0.63258,0.84959,0.58286,0.00223,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,7507.61,1.16589,0.53287,0.00245,0.91067,0.83306,0.90065,0.63249,0.85016,0.58666,0.00225,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,7589.73,1.14239,0.51955,0.00242,0.90703,0.83471,0.90104,0.63237,0.84928,0.59361,0.00223,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,7672.26,1.15181,0.51403,0.00242,0.90927,0.83468,0.90162,0.63219,0.84705,0.59223,0.00222,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
94,7754.67,1.15002,0.51108,0.00243,0.9076,0.83807,0.90159,0.63154,0.8467,0.59878,0.00223,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
